Price,Product Name,Category,Subcategory,ASIN,URL
$33.62,"Logitech M720 Triathalon Multi-Device Wireless Mouse with FLOW Cross-Computer Control and File Sharing for PC and Mac, Easy-Switch up to 3 Devices",Electronics,Mice,B01LF37K80,https://www.amazon.com/dp/B01LF37K80?ascsubtag=AgEAAAAAAAAAAPh4AAAAAB6QG48AAAAAW-9Z0g&linkCode=g12&creativeASIN=B01LF37K80&tag=thewire0f-20
$66.99,Microsoft Sculpt Ergonomic Keyboard for Business (5KV-00001 ),Electronics,Keyboards,B00CYX26BC,https://www.amazon.com/dp/B00CYX26BC?ascsubtag=AgEAAAAAAAAAAI8dAAAAAB6QG48AAAAAW-9Z0g&linkCode=g12&creativeASIN=B00CYX26BC&tag=thewire0f-20
